reward,length,timestamp
25.0,25,1757493528.118354
39.0,39,1757493528.1619775
66.0,66,1757493528.228671
20.0,20,1757493528.2484407
64.0,64,1757493528.307626
51.0,51,1757493528.3560948
55.0,55,1757493528.4119487
40.0,40,1757493528.4517562
45.0,45,1757493528.4943452
45.0,45,1757493528.5361366
42.0,42,1757493528.5760658
61.0,61,1757493528.6369948
19.0,19,1757493528.6568608
30.0,30,1757493528.6850934
26.0,26,1757493528.7107534
40.0,40,1757493528.7477064
37.0,37,1757493528.779613
18.0,18,1757493528.7992074
28.0,28,1757493528.8257756
27.0,27,1757493528.848439
38.0,38,1757493528.8847625
42.0,42,1757493528.923019
37.0,37,1757493528.9555814
25.0,25,1757493528.9785652
32.0,32,1757493529.0097234
31.0,31,1757493529.0374098
31.0,31,1757493529.0676942
33.0,33,1757493529.0986717
20.0,20,1757493529.1157887
27.0,27,1757493529.140053
29.0,29,1757493529.1658056
25.0,25,1757493529.1881673
20.0,20,1757493529.207038
66.0,66,1757493529.2673116
43.0,43,1757493529.306366
26.0,26,1757493529.3291988
23.0,23,1757493529.3519456
27.0,27,1757493529.376403
43.0,43,1757493529.4167788
35.0,35,1757493529.4497166
27.0,27,1757493529.4729037
22.0,22,1757493529.4914782
22.0,22,1757493529.5131004
33.0,33,1757493529.543109
18.0,18,1757493529.5604894
23.0,23,1757493529.581735
27.0,27,1757493529.6043775
33.0,33,1757493529.6343234
47.0,47,1757493529.6763778
28.0,28,1757493529.7025726
44.0,44,1757493529.7433267
18.0,18,1757493529.759928
17.0,17,1757493529.7733598
34.0,34,1757493529.8041692
22.0,22,1757493529.8262377
26.0,26,1757493529.8492405
43.0,43,1757493529.8861876
29.0,29,1757493529.9132302
33.0,33,1757493529.9442844
35.0,35,1757493529.975946
33.0,33,1757493530.0057156
27.0,27,1757493530.0315332
38.0,38,1757493530.063668
41.0,41,1757493530.102364
36.0,36,1757493530.1335351
37.0,37,1757493530.1653624
31.0,31,1757493530.192847
37.0,37,1757493530.2279315
37.0,37,1757493530.2611425
32.0,32,1757493530.2926538
22.0,22,1757493530.3124034
22.0,22,1757493530.3323846
18.0,18,1757493530.3499937
31.0,31,1757493530.377916
18.0,18,1757493530.3948445
23.0,23,1757493530.4138072
26.0,26,1757493530.4408793
21.0,21,1757493530.4591982
24.0,24,1757493530.4825737
32.0,32,1757493530.512025
22.0,22,1757493530.530023
40.0,40,1757493530.5673943
26.0,26,1757493530.5931215
28.0,28,1757493530.617306
33.0,33,1757493530.6493511
27.0,27,1757493530.6730165
45.0,45,1757493530.7150455
26.0,26,1757493530.737945
30.0,30,1757493530.765119
22.0,22,1757493530.786617
34.0,34,1757493530.8171806
30.0,30,1757493530.844139
33.0,33,1757493530.8707473
36.0,36,1757493530.9041119
41.0,41,1757493530.9431574
30.0,30,1757493530.9706883
32.0,32,1757493530.9991293
37.0,37,1757493531.0318022
24.0,24,1757493531.0545475
31.0,31,1757493531.081395
28.0,28,1757493531.1093066
39.0,39,1757493531.145806
40.0,40,1757493531.1895823
33.0,33,1757493531.221746
51.0,51,1757493531.2717557
35.0,35,1757493531.3035443
34.0,34,1757493531.3352196
34.0,34,1757493531.3727002
23.0,23,1757493531.3950026
53.0,53,1757493531.444555
29.0,29,1757493531.4731295
42.0,42,1757493531.5191026
38.0,38,1757493531.5569692
26.0,26,1757493531.5834606
