reward,length,timestamp
13.0,13,1757605327.8648937
11.0,11,1757605327.869163
27.0,27,1757605327.8809092
28.0,28,1757605327.8934891
27.0,27,1757605327.9042656
10.0,10,1757605327.9088554
41.0,41,1757605327.9257438
15.0,15,1757605327.9314647
34.0,34,1757605327.9453387
30.0,30,1757605327.9558797
21.0,21,1757605327.9638608
24.0,24,1757605327.9728231
20.0,20,1757605327.980239
15.0,15,1757605327.9857516
12.0,12,1757605327.990142
22.0,22,1757605327.9979844
22.0,22,1757605328.0062413
44.0,44,1757605328.0224447
11.0,11,1757605328.0264556
30.0,30,1757605328.0372808
18.0,18,1757605328.0440397
12.0,12,1757605328.0486047
9.0,9,1757605328.0522249
20.0,20,1757605328.0592413
15.0,15,1757605328.0646796
14.0,14,1757605328.0698316
23.0,23,1757605328.0787137
20.0,20,1757605328.086153
26.0,26,1757605328.0961218
17.0,17,1757605328.1028934
19.0,19,1757605328.1105125
34.0,34,1757605328.1241345
35.0,35,1757605328.1375928
19.0,19,1757605328.1454573
39.0,39,1757605328.160894
9.0,9,1757605328.1641622
18.0,18,1757605328.17102
13.0,13,1757605328.1781888
23.0,23,1757605328.187777
26.0,26,1757605328.1973577
15.0,15,1757605328.2026565
19.0,19,1757605328.2097828
12.0,12,1757605328.2147768
54.0,54,1757605328.2357154
38.0,38,1757605328.2496755
14.0,14,1757605328.254946
10.0,10,1757605328.2594817
15.0,15,1757605328.2652538
18.0,18,1757605328.2717724
16.0,16,1757605328.2782445
19.0,19,1757605328.2857792
16.0,16,1757605328.2918842
21.0,21,1757605328.2996542
36.0,36,1757605328.3140125
24.0,24,1757605328.323704
32.0,32,1757605328.337174
39.0,39,1757605328.3521304
11.0,11,1757605328.3561728
13.0,13,1757605328.3608892
14.0,14,1757605328.366077
17.0,17,1757605328.373408
11.0,11,1757605328.3774679
13.0,13,1757605328.3826988
14.0,14,1757605328.3878767
14.0,14,1757605328.3931093
33.0,33,1757605328.406512
13.0,13,1757605328.4118176
30.0,30,1757605328.42299
8.0,8,1757605328.4259067
16.0,16,1757605328.433055
32.0,32,1757605328.4454093
10.0,10,1757605328.4497988
13.0,13,1757605328.4553041
21.0,21,1757605328.4634755
82.0,82,1757605328.4955432
11.0,11,1757605328.4997466
17.0,17,1757605328.506712
29.0,29,1757605328.518303
15.0,15,1757605328.5243316
22.0,22,1757605328.5328245
12.0,12,1757605328.5377536
15.0,15,1757605328.5439212
13.0,13,1757605328.5488348
41.0,41,1757605328.564949
17.0,17,1757605328.5717332
19.0,19,1757605328.57931
48.0,48,1757605328.5969787
13.0,13,1757605328.602167
25.0,25,1757605328.6108718
16.0,16,1757605328.6169107
24.0,24,1757605328.6255946
30.0,30,1757605328.6363642
12.0,12,1757605328.64058
14.0,14,1757605328.6456923
21.0,21,1757605328.6532009
14.0,14,1757605329.6196022
19.0,19,1757605329.6262956
20.0,20,1757605329.6349096
50.0,50,1757605329.653711
15.0,15,1757605329.6591225
39.0,39,1757605329.6753323
19.0,19,1757605329.6825113
23.0,23,1757605329.690964
33.0,33,1757605329.7035198
45.0,45,1757605329.7212026
30.0,30,1757605329.7355394
25.0,25,1757605329.7449963
16.0,16,1757605329.7515278
57.0,57,1757605329.772417
14.0,14,1757605329.7775865
18.0,18,1757605329.7843122
16.0,16,1757605329.790053
22.0,22,1757605329.7979536
16.0,16,1757605329.8039544
32.0,32,1757605329.8175795
41.0,41,1757605329.8326993
33.0,33,1757605329.845402
31.0,31,1757605329.857075
28.0,28,1757605329.8672545
44.0,44,1757605329.883994
35.0,35,1757605329.8970368
