reward,length,timestamp,algo,env,reward_smooth
25.0,25,1757493528.118354,A2C,CartPole-v1,25.0
39.0,39,1757493528.1619775,A2C,CartPole-v1,32.0
66.0,66,1757493528.228671,A2C,CartPole-v1,43.333333333333336
20.0,20,1757493528.2484407,A2C,CartPole-v1,37.5
64.0,64,1757493528.307626,A2C,CartPole-v1,42.8
51.0,51,1757493528.3560948,A2C,CartPole-v1,44.166666666666664
55.0,55,1757493528.4119487,A2C,CartPole-v1,45.714285714285715
40.0,40,1757493528.4517562,A2C,CartPole-v1,45.0
45.0,45,1757493528.4943452,A2C,CartPole-v1,45.0
45.0,45,1757493528.5361366,A2C,CartPole-v1,45.0
42.0,42,1757493528.5760658,A2C,CartPole-v1,46.7
61.0,61,1757493528.6369948,A2C,CartPole-v1,48.9
19.0,19,1757493528.6568608,A2C,CartPole-v1,44.2
30.0,30,1757493528.6850934,A2C,CartPole-v1,45.2
26.0,26,1757493528.7107534,A2C,CartPole-v1,41.4
40.0,40,1757493528.7477064,A2C,CartPole-v1,40.3
37.0,37,1757493528.779613,A2C,CartPole-v1,38.5
18.0,18,1757493528.7992074,A2C,CartPole-v1,36.3
28.0,28,1757493528.8257756,A2C,CartPole-v1,34.6
27.0,27,1757493528.848439,A2C,CartPole-v1,32.8
38.0,38,1757493528.8847623,A2C,CartPole-v1,32.4
42.0,42,1757493528.923019,A2C,CartPole-v1,30.5
37.0,37,1757493528.9555814,A2C,CartPole-v1,32.3
25.0,25,1757493528.9785652,A2C,CartPole-v1,31.8
32.0,32,1757493529.0097234,A2C,CartPole-v1,32.4
31.0,31,1757493529.0374098,A2C,CartPole-v1,31.5
31.0,31,1757493529.0676942,A2C,CartPole-v1,30.9
33.0,33,1757493529.0986717,A2C,CartPole-v1,32.4
20.0,20,1757493529.1157887,A2C,CartPole-v1,31.6
27.0,27,1757493529.140053,A2C,CartPole-v1,31.6
29.0,29,1757493529.1658056,A2C,CartPole-v1,30.7
25.0,25,1757493529.188167,A2C,CartPole-v1,29.0
20.0,20,1757493529.207038,A2C,CartPole-v1,27.3
66.0,66,1757493529.2673116,A2C,CartPole-v1,31.4
43.0,43,1757493529.306366,A2C,CartPole-v1,32.5
26.0,26,1757493529.3291988,A2C,CartPole-v1,32.0
23.0,23,1757493529.3519456,A2C,CartPole-v1,31.2
27.0,27,1757493529.376403,A2C,CartPole-v1,30.6
43.0,43,1757493529.4167788,A2C,CartPole-v1,32.9
35.0,35,1757493529.4497166,A2C,CartPole-v1,33.7
27.0,27,1757493529.4729035,A2C,CartPole-v1,33.5
22.0,22,1757493529.4914782,A2C,CartPole-v1,33.2
22.0,22,1757493529.5131004,A2C,CartPole-v1,33.4
33.0,33,1757493529.543109,A2C,CartPole-v1,30.1
18.0,18,1757493529.5604894,A2C,CartPole-v1,27.6
23.0,23,1757493529.581735,A2C,CartPole-v1,27.3
27.0,27,1757493529.6043775,A2C,CartPole-v1,27.7
33.0,33,1757493529.6343234,A2C,CartPole-v1,28.3
47.0,47,1757493529.6763778,A2C,CartPole-v1,28.7
28.0,28,1757493529.7025726,A2C,CartPole-v1,28.0
44.0,44,1757493529.743327,A2C,CartPole-v1,29.7
18.0,18,1757493529.759928,A2C,CartPole-v1,29.3
17.0,17,1757493529.7733598,A2C,CartPole-v1,28.8
34.0,34,1757493529.8041692,A2C,CartPole-v1,28.9
22.0,22,1757493529.8262377,A2C,CartPole-v1,29.3
26.0,26,1757493529.8492403,A2C,CartPole-v1,29.6
43.0,43,1757493529.8861876,A2C,CartPole-v1,31.2
29.0,29,1757493529.9132302,A2C,CartPole-v1,30.8
33.0,33,1757493529.9442844,A2C,CartPole-v1,29.4
35.0,35,1757493529.975946,A2C,CartPole-v1,30.1
33.0,33,1757493530.0057156,A2C,CartPole-v1,29.0
27.0,27,1757493530.0315332,A2C,CartPole-v1,29.9
38.0,38,1757493530.063668,A2C,CartPole-v1,32.0
41.0,41,1757493530.102364,A2C,CartPole-v1,32.7
36.0,36,1757493530.1335351,A2C,CartPole-v1,34.1
37.0,37,1757493530.1653624,A2C,CartPole-v1,35.2
31.0,31,1757493530.192847,A2C,CartPole-v1,34.0
37.0,37,1757493530.2279315,A2C,CartPole-v1,34.8
